time,open,high,low,close,volume
2017-01-01 00:00:00,971.0,973.37,967.62,973.37,193.0
2017-01-01 01:00:00,973.37,973.4,969.9,970.27,175.0
2017-01-01 02:00:00,970.99,972.0,968.21,970.49,148.0
2017-01-01 03:00:00,970.49,971.99,967.0,967.95,108.0
2017-01-01 04:00:00,967.83,969.47,967.57,968.14,113.0
2017-01-01 05:00:00,968.17,968.62,966.64,968.1,79.0
2017-01-01 06:00:00,968.1,968.1,964.37,966.92,160.0
2017-01-01 07:00:00,966.92,969.63,964.54,969.45,68.0
2017-01-01 08:00:00,969.45,970.56,968.54,969.47,83.0
2017-01-01 09:00:00,969.04,969.58,968.11,969.15,90.0
2017-01-01 10:00:00,969.16,970.68,968.6,970.38,53.0
2017-01-01 11:00:00,970.36,974.99,969.79,974.99,100.0
2017-01-01 12:00:00,974.98,975.0,974.98,975.0,54.0
2017-01-01 13:00:00,975.0,975.0,974.01,974.56,52.0
2017-01-01 14:00:00,974.37,977.99,974.31,977.99,125.0
2017-01-01 15:00:00,977.98,979.99,977.58,979.99,101.0
2017-01-01 16:00:00,979.99,979.99,979.01,979.99,111.0
2017-01-01 17:00:00,979.98,994.97,977.63,994.79,545.0
2017-01-01 18:00:00,994.8,994.8,993.0,994.42,362.0
2017-01-01 19:00:00,994.49,999.68,994.49,997.12,348.0
2017-01-01 20:00:00,997.11,997.11,993.7,994.92,272.0
2017-01-01 21:00:00,994.61,1000.0,993.76,1000.0,306.0
2017-01-01 22:00:00,1000.0,1000.0,992.04,997.22,436.0
2017-01-01 23:00:00,997.22,998.0,990.0,998.0,295.0
2017-01-02 00:00:00,998.0,998.99,986.86,992.95,211.0
2017-01-02 01:00:00,992.96,997.99,992.86,995.48,251.0
2017-01-02 02:00:00,996.17,997.71,990.52,997.71,213.0
2017-01-02 03:00:00,997.7,1002.0,997.39,1002.0,254.0
2017-01-02 04:00:00,1002.0,1011.78,1000.01,1009.63,437.0
2017-01-02 05:00:00,1009.63,1010.7,1005.43,1009.62,192.0
2017-01-02 06:00:00,1009.2,1012.0,1000.0,1003.64,340.0
2017-01-02 07:00:00,1002.94,1010.99,1002.92,1009.65,190.0
2017-01-02 08:00:00,1009.8,1012.25,1007.35,1012.25,184.0
2017-01-02 09:00:00,1012.01,1013.0,1009.33,1012.03,108.0
2017-01-02 10:00:00,1012.03,1015.0,1005.7,1015.0,123.0
2017-01-02 11:00:00,1015.0,1019.1,1010.65,1015.79,199.0
2017-01-02 12:00:00,1015.52,1024.95,1015.43,1024.84,151.0
2017-01-02 13:00:00,1024.84,1025.0,1021.7,1024.99,114.0
2017-01-02 14:00:00,1024.99,1025.0,1005.3,1018.16,227.0
2017-01-02 15:00:00,1018.0,1024.54,1011.34,1024.31,174.0
2017-01-02 16:00:00,1024.31,1028.0,1015.05,1026.98,681.0
2017-01-02 17:00:00,1026.98,1034.39,1023.2,1029.95,423.0
2017-01-02 18:00:00,1029.76,1030.0,1015.81,1021.88,368.0
2017-01-02 19:00:00,1021.87,1029.0,1018.0,1018.41,324.0
2017-01-02 20:00:00,1018.26,1019.58,997.2,1001.01,891.0
2017-01-02 21:00:00,1001.02,1014.0,991.69,1012.98,958.0
2017-01-02 22:00:00,1012.99,1017.79,1006.6,1012.2,313.0
2017-01-02 23:00:00,1012.2,1019.67,1011.31,1013.8,258.0
2017-01-03 00:00:00,1015.05,1019.99,1011.45,1011.45,324.0
2017-01-03 01:00:00,1011.52,1023.3,1009.29,1020.74,309.0
2017-01-03 02:00:00,1020.84,1022.99,1012.61,1019.01,243.0
2017-01-03 03:00:00,1019.05,1023.0,1012.9,1022.97,132.0
2017-01-03 04:00:00,1022.97,1029.85,1016.65,1024.09,413.0
2017-01-03 05:00:00,1023.95,1024.1,1017.95,1022.36,287.0
2017-01-03 06:00:00,1021.86,1027.93,1015.03,1018.8,328.0
2017-01-03 07:00:00,1018.65,1024.47,1011.5,1013.16,307.0
2017-01-03 08:00:00,1013.07,1019.37,1006.71,1019.37,221.0
2017-01-03 09:00:00,1019.37,1019.8,1012.0,1012.02,171.0
2017-01-03 10:00:00,1012.03,1019.3,1010.0,1010.97,241.0
2017-01-03 11:00:00,1011.04,1016.99,1009.08,1014.94,246.0
2017-01-03 12:00:00,1014.94,1023.95,1014.48,1019.82,260.0
2017-01-03 13:00:00,1019.96,1025.75,1017.0,1018.8,259.0
2017-01-03 14:00:00,1018.94,1020.0,1013.5,1015.0,232.0
2017-01-03 15:00:00,1016.37,1019.0,1013.26,1014.34,301.0
2017-01-03 16:00:00,1013.65,1019.78,1010.3,1016.97,375.0
2017-01-03 17:00:00,1016.97,1018.56,1015.78,1017.86,278.0
2017-01-03 18:00:00,1017.79,1019.99,1016.8,1019.97,294.0
2017-01-03 19:00:00,1019.98,1026.43,1018.76,1023.96,444.0
2017-01-03 20:00:00,1023.96,1024.0,1014.01,1018.25,536.0
2017-01-03 21:00:00,1018.25,1027.83,1018.25,1025.82,488.0
2017-01-03 22:00:00,1026.04,1028.51,1020.0,1024.13,564.0
2017-01-03 23:00:00,1024.33,1032.0,1022.86,1028.54,563.0
2017-01-04 00:00:00,1027.85,1036.99,1018.18,1020.67,1066.0
2017-01-04 01:00:00,1020.69,1039.33,1018.0,1036.55,711.0
2017-01-04 02:00:00,1036.78,1040.0,1036.77,1038.99,211.0
2017-01-04 03:00:00,1038.99,1047.99,1038.99,1041.57,787.0
2017-01-04 04:00:00,1041.4,1047.82,1041.19,1046.74,640.0
2017-01-04 05:00:00,1046.41,1054.97,1045.05,1048.23,711.0
2017-01-04 06:00:00,1048.21,1065.0,1047.25,1062.96,923.0
2017-01-04 07:00:00,1062.85,1063.0,1055.65,1062.53,340.0
2017-01-04 08:00:00,1062.53,1065.0,1061.74,1062.92,271.0
